accuracy_at_0_5,roc_auc,f1_at_0_5,weight_CatBoost_v2,weight_MLP_sklearn,weight_LightGBM_base,weight_CT65_MLP25_LGB9
0.8155987576210745,0.9045506951167932,0.819624170136154,0.75,0.05,0.05,0.15000000000000002
0.8153686874496722,0.9045657816100412,0.8193584693303321,0.6000000000000001,0.0,0.05,0.35000000000000003
0.8153686874496722,0.9045059120526258,0.8192771084337349,0.7000000000000001,0.05,0.05,0.2
0.815253652363971,0.9046473545437076,0.8192662615349989,0.75,0.05,0.1,0.1
0.815253652363971,0.9046042654015892,0.8192662615349989,0.7000000000000001,0.05,0.1,0.15000000000000002
0.8151386172782699,0.9045351851430332,0.8191333708497468,0.8,0.1,0.1,0.0
0.8151386172782699,0.9045181929874804,0.8190926488798829,0.55,0.0,0.05,0.4
0.8151386172782699,0.9008682673877129,0.8187253243090806,0.0,0.15000000000000002,0.8500000000000001,0.0
0.8150235821925688,0.9046175521026601,0.8190411883862255,0.65,0.0,0.05,0.30000000000000004
0.8150235821925688,0.9044837322607984,0.8190004502476362,0.8500000000000001,0.1,0.05,0.0
0.8149085471068676,0.9046985956856863,0.8188674997185635,0.8,0.05,0.1,0.05
0.8149085471068676,0.9046683168290626,0.8188674997185635,0.6000000000000001,0.0,0.1,0.30000000000000004
0.8149085471068676,0.9044541944950709,0.8187450715331757,0.65,0.05,0.05,0.25
0.8149085471068676,0.9044247096644076,0.8187858993129857,0.8,0.1,0.05,0.05
0.8147935120211665,0.9045937313238478,0.8188161152374521,0.8,0.05,0.05,0.1
0.8147935120211665,0.9045577354803089,0.8187345192524206,0.65,0.05,0.1,0.2
0.8147935120211665,0.9044505949107171,0.8187753264295362,0.6000000000000001,0.0,0.0,0.4
0.8147935120211665,0.9016120050373008,0.8183254344391785,0.05,0.15000000000000002,0.75,0.05
0.8146784769354654,0.9044917254554665,0.8186423505572442,0.65,0.0,0.0,0.35000000000000003
0.8146784769354654,0.9044002536648268,0.8186015088390947,0.55,0.0,0.0,0.45
0.8145634418497641,0.9047107707504127,0.8185502026114363,0.65,0.0,0.1,0.25
0.8145634418497641,0.9044674282610778,0.8184684684684684,0.5,0.0,0.05,0.45
0.8145634418497641,0.9044201043138372,0.8185502026114363,0.75,0.05,0.0,0.2
0.8145634418497641,0.904343136730741,0.8185502026114363,0.8500000000000001,0.1,0.0,0.05
0.8145634418497641,0.9043186277960963,0.8184684684684684,0.65,0.05,0.0,0.30000000000000004
0.8145634418497641,0.9011537461880137,0.8181818181818182,0.0,0.1,0.8500000000000001,0.05
0.814448406764063,0.9045281977145815,0.8183763089742147,0.9,0.05,0.0,0.05
0.814448406764063,0.9044725100272244,0.818458075407991,0.8,0.05,0.0,0.15000000000000002
0.814448406764063,0.9043723039510202,0.8183353981304201,0.7000000000000001,0.05,0.0,0.25
0.814448406764063,0.9043655282628248,0.8182944688520897,0.75,0.1,0.05,0.1
