model,n_samples,mean_probability,std_probability,min_probability,max_probability,positive_rate_at_0_5,accuracy_at_0_5,balanced_accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,roc_auc,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,best_accuracy_threshold,best_accuracy,best_f1_threshold,best_f1
LightGBM_base,8693,0.5021855885361001,0.3498643381604633,0.0008155633536865634,0.9988601000380352,0.5127113769699758,0.8142183365926607,0.8141427139913198,0.809961857751851,0.8245774326176336,0.8172043010752689,0.900310675890778,0.3921178476539376,0.126346541663454,3468,847,768,3610,0.5,0.8142183365926607,0.41000000000000003,0.8235673583485646
CatBoost_v2,8693,0.5023346592072419,0.35293570270974767,0.0012311542707758882,0.9990706662277381,0.518693201426435,0.8130679857356494,0.8129489488949011,0.80527833222444,0.8293741434444952,0.8171486440868685,0.9046692696602152,0.381526076212354,0.12348141680252844,3437,878,747,3631,0.45,0.8154837225353733,0.42000000000000004,0.8257453449574857
MLP_sklearn,8693,0.5009870466937729,0.36004096151371523,1.3279569035335654e-17,0.9999994860297424,0.5081099735419303,0.7967330035660877,0.7966898116411617,0.7955625990491284,0.8026496116948378,0.7990903922683342,0.8853407721214308,0.4250586668009848,0.13719141006953348,3412,903,864,3514,0.43,0.798688600023007,0.4,0.8098424347075329
